GRB;designation;z;E_iso;instrument;GCN
050315A;IBdHNe 050315A;1.95;8.32;Swift;3099
050318A;IBdHNe 050318A;1.44;3.70;Swift;3134
050319A;IBdHNe 050319A;3.24;20.2;Swift;3119
050401A;IBdHNe 050401A;2.9;92.0;KW;3179
050408A;IBdHNe 050408A;1.24;10.8;HETE;3188
050505A;IBdHNe 050505A;4.27;44.6;Swift;3364
050525A;IBdHNe 050525A;0.606;2.31;KW;3474
050730A;IBdHNe 050730A;3.97;42.8;Swift;3715
050802A;IBdHNe 050802A;1.71;7.46;Swift;3737
050814A;IBdHNe 050814A;5.3;26.8;Swift;3803
050820A;IBdHNe 050820A;2.61;39.0;KW;3852
050922C;IBdHNe 050922C;2.2;19.8;KW;4030
051109A;IBdHNe 051109A;2.35;18.3;KW;4238
060108A;IBdHNe 060108A;2.03;1.50;Swift;4445
060115A;IBdHNe 060115A;3.53;19.0;Swift;4518
060124A;IBdHNe 060124A;2.296;26.0;KW;4599
060202A;IBdHNe 060202A;0.783;1.90;Swift;4635
060206A;IBdHNe 060206A;4.05;3.90;Swift;4697
060210A;IBdHNe 060210A;3.91;120.;Swift;4734
060418A;IBdHNe 060418A;1.49;12.0;KW;4989
060502A;IBdHNe 060502A;1.51;11.0;Swift;5053
060510B;IBdHNe 060510B;4.9;66.0;Swift;5107
060512A;IBdHNe 060512A;2.1;2.38;Swift;5124
060526A;IBdHNe 060526A;3.21;5.40;Swift;5174
060605A;IBdHNe 060605A;3.8;10.1;Swift;5231
060607A;IBdHNe 060607A;3.082;34.0;Swift;5242
060707A;IBdHNe 060707A;3.43;5.30;Swift;5289
060708A;IBdHNe 060708A;1.92;2.20;Swift;5295
060714A;IBdHNe 060714A;2.71;19.0;Swift;5334
060729A;IBdHNe 060729A;0.54;1.60;Swift;5370
060814A;IBdHNe 060814A;1.92;6.30;KW;5460
060906A;IBdHNe 060906A;3.685;25.9;Swift;5534
061007A;IBdHNe 061007A;1.261;88.0;KW;5722
061121A;IBdHNe 061121A;1.314;27.0;KW;5837
061126A;IBdHNe 061126A;1.159;8.10;Swift;5860
061222A;IBdHNe 061222A;2.088;33.0;KW;5984
070110A;IBdHNe 070110A;2.35;11.9;Swift;6007
070306A;IBdHNe 070306A;1.5;15.5;Swift;6173
070318A;IBdHNe 070318A;0.84;4.37;Swift;6212
070508A;IBdHNe 070508A;0.82;7.57;KW;6403
070529A;IBdHNe 070529A;2.5;31.9;Swift;6468
070802A;IBdHNe 070802A;2.45;1.64;Swift;6699
071003A;IBdHNe 071003A;1.6;35.8;KW;6849
080210A;IBdHNe 080210A;2.64;11.8;Swift;7289
080310A;IBdHNe 080310A;2.43;20.0;Swift;7402
080319B;IBdHNe 080319B;0.94;122.;KW;7482
080319C;IBdHNe 080319C;1.95;14.6;KW;7487
080605A;IBdHNe 080605A;1.64;22.1;KW;7854
080607A;IBdHNe 080607A;3.04;187.;KW;7862
080721A;IBdHNe 080721A;2.6;132.;KW;7995
080804A;IBdHNe 080804A;2.2;56.9;Swift;8067
080805A;IBdHNe 080805A;1.51;9.96;Swift;8068
080810A;IBdHNe 080810A;3.35;76.1;KW+Swift;8101
080905B;IBdHNe 080905B;2.37;9.85;Fermi;8205
080916C;IBdHNe 080916C;4.35;242.;Fermi;8278
080928A;IBdHNe 080928A;1.69;4.93;Fermi;8316
081008A;IBdHNe 081008A;1.97;9.34;Swift;8351
081028A;IBdHNe 081028A;3.04;12.0;Swift;8428
081109A;IBdHNe 081109A;0.98;1.87;Fermi;8505
081121A;IBdHNe 081121A;2.51;24.9;Fermi;8546
081203A;IBdHNe 081203A;2.1;35.1;Swift;8595
081221A;IBdHNe 081221A;2.26;33.8;Fermi;8704
081222A;IBdHNe 081222A;2.77;25.9;Fermi;8715
090102A;IBdHNe 090102A;1.55;19.8;KW;8776
090313A;IBdHNe 090313A;3.38;13.1;Swift;8986
090328A;IBdHNe 090328A;0.736;19.5;Fermi;9056
090418A;IBdHNe 090418A;1.61;15.0;KW;9171
090423A;IBdHNe 090423A;8.2;10.9;Fermi;9229
090424A;IBdHNe 090424A;0.544;4.51;Fermi;9230
090516A;IBdHNe 090516A;3.9;65.0;Fermi;9413
090618A;IBdHNe 090618A;0.54;28.6;Fermi;9535
090715B;IBdHNe 090715B;3.;22.1;KW;9679
090809A;IBdHNe 090809A;2.74;4.98;Swift;9756
090812A;IBdHNe 090812A;2.45;41.7;KW+Swift;9821
090902B;IBdHNe 090902B;1.82;403.;Fermi;9866
090926A;IBdHNe 090926A;2.11;217.;Fermi;9933
091003A;IBdHNe 091003A;0.9;10.9;Fermi;9983
091020A;IBdHNe 091020A;1.71;7.63;Fermi;10095
091029A;IBdHNe 091029A;2.75;7.52;Swift;10103
091127A;IBdHNe 091127A;0.49;1.79;Fermi;10204
091208B;IBdHNe 091208B;1.06;2.03;Fermi;10266
100302A;IBdHNe 100302A;4.81;5.24;Swift;10462
100425A;IBdHNe 100425A;1.75;2.84;Swift;10685
100513A;IBdHNe 100513A;4.77;25.7;Swift;10753
100621A;IBdHNe 100621A;0.542;6.93;KW;10882
100814A;IBdHNe 100814A;1.44;15.8;Fermi;11099
100901A;IBdHNe 100901A;1.41;8.09;Swift;11169
100906A;IBdHNe 100906A;1.73;22.5;Fermi;11248
110128A;IBdHNe 110128A;2.339;3.60;Fermi;11628
110205A;IBdHNe 110205A;2.22;41.0;KW;11659
110213A;IBdHNe 110213A;1.46;7.00;Fermi;11727
110422A;IBdHNe 110422A;1.77;62.0;KW;11971
110503A;IBdHNe 110503A;1.613;19.0;KW;12008
110715A;IBdHNe 110715A;0.82;5.60;KW;12166
110731A;IBdHNe 110731A;2.83;42.0;Fermi;12221
110808A;IBdHNe 110808A;1.348;6.10;Swift;12262
110918A;IBdHNe 110918A;0.982;190.;KW;12362
111008A;IBdHNe 111008A;4.9898;82.0;KW;12433
111123A;IBdHNe 111123A;3.1516;70.0;Swift;12598
111209A;IBdHNe 111209A;0.67;67.0;KW;12663
111228A;IBdHNe 111228A;0.716;4.10;Fermi;12744
120119A;IBdHNe 120119A;1.73;37.5;Fermi;12874
120326A;IBdHNe 120326A;1.8;3.70;Fermi;13145
120327A;IBdHNe 120327A;2.81;36.5;Swift;13137
120711A;IBdHNe 120711A;1.41;166.;Fermi;13437
120712A;IBdHNe 120712A;4.17;18.3;Fermi;13469
120909A;IBdHNe 120909A;3.93;73.2;Fermi;13737
120922A;IBdHNe 120922A;3.1;32.0;Fermi;13809
121024A;IBdHNe 121024A;2.3;10.7;Swift;13899
121027A;IBdHNe 121027A;1.77;6.55;Swift;13910
121128A;IBdHNe 121128A;2.2;13.2;Fermi;14012
121217A;IBdHNe 121217A;3;24.2;Fermi;14094
130418A;IBdHNe 130418A;1.218;9.90;KW;14417
130420A;IBdHNe 130420A;1.297;7.74;Fermi;14429
130427A;IBdHNe 130427A;0.338;105.;Fermi;14473
130427B;IBdHNe 130427B;2.78;5.04;Swift;14469
130505A;IBdHNe 130505A;2.27;347.;KW;14575
130514A;IBdHNe 130514A;3.6;52.4;KW+Swift;14702
130528A;IBdHNe 130528A;1.25;4.40;Fermi;14729
130606A;IBdHNe 130606A;5.91;28.3;KW;14808
130610A;IBdHNe 130610A;2.092;6.99;Fermi;14858
130701A;IBdHNe 130701A;1.155;2.60;KW;14958
130907A;IBdHNe 130907A;1.238;304.;KW;15203
130925A;IBdHNe 130925A;0.347;18.4;Fermi;15255
131030A;IBdHNe 131030A;1.293;173.;KW;15413
131105A;IBdHNe 131105A;1.686;34.7;Fermi;15455
131108A;IBdHNe 131108A;2.4;73.0;Fermi;15477
131117A;IBdHNe 131117A;4.042;1.02;Swift;15499
131231A;IBdHNe 131231A;0.642;22.2;Fermi;15644
140206A;IBdHNe 140206A;2.74;35.9;Fermi;15796
140213A;IBdHNe 140213A;1.2076;9.93;Fermi;15833
140226A;IBdHNe 140226A;1.98;5.80;KW;15889
140304A;IBdHNe 140304A;5.283;13.7;Fermi;15923
140311A;IBdHNe 140311A;4.954;11.6;Swift;15962
140419A;IBdHNe 140419A;3.956;186.;KW;16134
140423A;IBdHNe 140423A;3.26;65.3;Fermi;16152
140506A;IBdHNe 140506A;0.889;1.12;Fermi;16220
140508A;IBdHNe 140508A;1.027;23.9;Fermi;16224
140509A;IBdHNe 140509A;2.4;9.14;Swift;16240
140512A;IBdHNe 140512A;0.725;7.76;Fermi;16262
140614A;IBdHNe 140614A;4.233;7.30;Swift;16402
140620A;IBdHNe 140620A;2.04;6.22;Fermi;16426
140629A;IBdHNe 140629A;2.275;6.15;KW;16495
140703A;IBdHNe 140703A;3.14;1.72;Fermi;16512
140907A;IBdHNe 140907A;1.21;2.29;Fermi;16798
141026A;IBdHNe 141026A;3.35;7.17;Swift;16960
141109A;IBdHNe 141109A;2.993;5.05;KW;17055
141121A;IBdHNe 141121A;1.47;14.6;KW;17108
141221A;IBdHNe 141221A;1.452;1.94;Fermi;17216
150206A;IBdHNe 150206A;2.087;151.;KW;17427
150314A;IBdHNe 150314A;1.758;98.1;Fermi;17579
150403A;IBdHNe 150403A;2.06;91.0;Fermi;17674
150514A;IBdHNe 150514A;0.807;1.14;Fermi;17819
150821A;IBdHNe 150821A;0.755;15.1;Fermi;18190
150910A;IBdHNe 150910A;1.36;22.3;Swift;18268
151021A;IBdHNe 151021A;2.33;211.;KW;18433
151027A;IBdHNe 151027A;0.81;3.86;Fermi;18492
151027B;IBdHNe 151027B;4.063;19.1;Swift;18514
151111A;IBdHNe 151111A;3.5;5.13;Fermi;18582
151112A;IBdHNe 151112A;4.1;12.4;Swift;18593
151215A;IBdHNe 151215A;2.59;1.97;Swift;18699
160121A;IBdHNe 160121A;1.96;2.62;Swift;18919
160131A;IBdHNe 160131A;0.972;60.4;KW;18974
160203A;IBdHNe 160203A;3.52;12.4;Swift;18998
160227A;IBdHNe 160227A;2.38;5.69;Swift;19106
160509A;IBdHNe 160509A;1.17;82.3;Fermi;19411
160623A;IBdHNe 160623A;0.367;23.3;KW;19554
160625B;IBdHNe 160625B;1.406;443.;Fermi;19587
160804A;IBdHNe 160804A;0.736;2.53;Fermi;19769
161017A;IBdHNe 161017A;2.013;7.79;Fermi;20068
161023A;IBdHNe 161023A;2.708;79.8;KW;20111
161108A;IBdHNe 161108A;1.159;1.71;Swift;20151
161117A;IBdHNe 161117A;1.549;24.8;Fermi;20192
